application_number,sponsor_name,brand_name,dosage_form,route,marketing_status,prescription,price_per_dose
NDA002386,GD SEARLE LLC,AMINOPHYLLIN,TABLET,ORAL,Discontinued,other,373.56
NDA017378,BAXTER HLTHCARE,PLASMA-LYTE A IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Prescription,cancer,58574.17
NDA017378,BAXTER HLTHCARE,PLASMA-LYTE 148 IN WATER IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Prescription,hepatitis,110.33
ANDA076202,GAVIS PHARMS,ACETAMINOPHEN AND PENTAZOCINE HYDROCHLORIDE,TABLET,ORAL,Discontinued,other,332.74
ANDA076209,AMPHASTAR PHARM,KETOROLAC TROMETHAMINE,INJECTABLE,INJECTION,Prescription,tuberculosis,358.11
ANDA076214,APOTEX,SOTALOL HYDROCHLORIDE,TABLET,ORAL,Prescription,diabetes,128.28
ANDA076216,SUN PHARMA CANADA,AMMONIUM LACTATE,LOTION,TOPICAL,Prescription,other,817.63
ANDA076218,PAR PHARM,LATANOPROST,SOLUTION,OPHTHALMIC,None (Tentative Approval),diabetes,80.97
ANDA076246,HIKMA,FLUCONAZOLE,FOR SUSPENSION,ORAL,Discontinued,chronic respiratory,2660.83
ANDA076249,IMPAX LABS,METFORMIN HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,Discontinued,other,204.8
NDA017391,CASPER PHARMA LLC,IMURAN,INJECTABLE,INJECTION,Discontinued,cardiovascular,1250.85
ANDA076269,TEVA,METFORMIN HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,Prescription,infc respiratory,2579.43
ANDA076282,AUROBINDO PHARMA USA,TIZANIDINE HYDROCHLORIDE,TABLET,ORAL,Discontinued,other,80.07
ANDA076302,CHARTWELL RX,NEFAZODONE HYDROCHLORIDE,TABLET,ORAL,Discontinued,chronic respiratory,2957.41
ANDA076313,WEST-WARD PHARMS INT,OCTREOTIDE ACETATE (PRESERVATIVE FREE),INJECTABLE,INJECTION,Prescription,other,32.31
ANDA076330,WEST-WARD PHARMS INT,OCTREOTIDE ACETATE,INJECTABLE,INJECTION,Prescription,tuberculosis,578.24
ANDA076341,APOTEX,PRAVASTATIN SODIUM,TABLET,ORAL,Prescription,diabetes,132.5
NDA017412,HUNTINGTON LABS,GERMA-MEDICA,SOLUTION,TOPICAL,Discontinued,tuberculosis,2977.47
