location,period,sex,inc_resp,inc_HIV,inc_ETS,inc_hep,inc_tub,total_inc
Afghanistan,2020,Both sexes,14.3672,5.8835,7.0417,1.2889,2.8457,76.6795
Afghanistan,2020,Male,24.1621,2.554,8.1985,1.5898,1.2744,74.7423
Afghanistan,2020,Female,20.4439,12.3153,8.1382,1.293,1.8744,96.2121
Afghanistan,2015,Both sexes,18.1772,14.2676,5.9918,4.2493,1.9466,61.0476
Afghanistan,2015,Male,10.6523,2.0124,5.8398,4.0096,1.2183,75.0946
Afghanistan,2015,Female,10.6519,14.3716,3.9596,4.0133,1.4233,74.8725
Afghanistan,2010,Both sexes,8.9874,8.3161,6.3012,3.8653,4.0485,59.9115
Afghanistan,2010,Male,22.725,5.1939,3.8955,3.6775,1.2524,53.8456
Afghanistan,2010,Female,18.219,2.0761,9.8994,2.908,0.6281,93.3088
Afghanistan,2005,Both sexes,20.0372,8.0087,11.6965,3.5691,3.3321,61.9508
Afghanistan,2005,Male,8.3499,12.1232,11.7307,1.1534,4.8919,87.8898
Afghanistan,2005,Female,24.4885,10.8992,10.7856,3.4859,1.9905,100.2542
Afghanistan,2000,Both sexes,22.1515,1.7032,8.4071,4.1115,1.034,69.3921
Afghanistan,2000,Male,11.6098,2.0206,9.3078,3.0014,3.0667,66.2429
Afghanistan,2000,Female,11.091,6.6402,5.5669,2.4301,4.5786,87.1095
Albania,2020,Both sexes,6.834,0.3658,4.1539,0.7716,0.8057,23.8628
Albania,2020,Male,8.0424,0.3091,3.2782,1.3928,0.6603,33.2921
Albania,2020,Female,10.2476,0.3529,3.4101,1.4778,0.3836,28.7382
Albania,2015,Both sexes,9.3195,0.8231,4.7889,1.7806,0.5877,23.704
Albania,2015,Male,7.9123,0.9363,2.4096,0.882,0.1821,29.5219
Albania,2015,Female,11.1185,0.4646,2.5902,1.6086,0.7111,24.6683
Albania,2010,Both sexes,6.3949,0.9155,5.6232,1.2543,0.7526,28.2557
Albania,2010,Male,7.9214,0.3893,1.2811,1.8008,0.9685,21.7451
Albania,2010,Female,8.6636,0.5288,3.4282,1.1973,0.3344,31.3944
Albania,2005,Both sexes,9.5607,0.3034,5.564,1.18,0.1166,34.1453
Albania,2005,Male,12.8518,0.6764,4.0518,1.2824,0.591,27.7771
Albania,2005,Female,6.9967,0.9811,3.732,1.5738,0.7361,28.6922
Albania,2000,Both sexes,10.1423,0.6431,2.2487,1.94,0.8114,22.2132
Albania,2000,Male,10.9241,0.422,2.7164,0.4251,0.2744,25.9369
Albania,2000,Female,5.4645,0.683,5.2602,0.3908,0.3356,18.5871
Algeria,2020,Both sexes,11.0754,0.2106,3.7961,1.8938,0.5613,24.6974
Algeria,2020,Male,6.7052,0.8998,3.5737,1.2008,0.3975,20.9599
Algeria,2020,Female,5.6505,0.5528,1.4979,1.3453,0.8745,22.0708
Algeria,2015,Both sexes,14.4889,0.5044,1.0801,1.1201,0.5264,23.8841
Algeria,2015,Male,14.6563,0.6273,5.8184,0.4592,0.8196,30.9065
Algeria,2015,Female,13.084,0.6623,2.8849,1.6058,0.6226,23.9579
Algeria,2010,Both sexes,8.0461,0.1646,4.0161,1.5703,0.7958,33.0726
Algeria,2010,Male,5.9767,0.7144,1.3986,0.8299,0.3994,22.6025
Algeria,2010,Female,11.8423,0.3177,4.4156,0.8206,0.8483,25.7577
Algeria,2005,Both sexes,9.4015,0.7426,5.6628,1.7243,0.3471,36.8115
Algeria,2005,Male,6.2204,0.8403,3.8783,0.423,0.5915,25.0848
Algeria,2005,Female,9.9518,0.8236,1.6306,1.7979,0.2926,20.1229
Algeria,2000,Both sexes,5.3439,0.5973,3.9086,0.7363,0.528,23.9873
Algeria,2000,Male,14.0932,0.5682,4.8317,1.3081,0.3864,35.7897
Algeria,2000,Female,7.5878,0.2286,3.0321,1.8912,0.34,30.0896
Angola,2020,Both sexes,19.2629,11.8548,10.9185,3.7125,4.8514,103.1714
Angola,2020,Male,13.2991,4.7997,8.8381,2.6577,1.2203,57.1834
Angola,2020,Female,16.8412,7.9537,11.0932,3.7581,4.043,102.2615
Angola,2015,Both sexes,17.2941,4.9798,8.6115,2.3759,4.9287,74.1707
Angola,2015,Male,11.1425,2.8736,4.1816,2.109,0.5896,47.7804
Angola,2015,Female,24.4829,9.8138,5.7872,4.9867,3.6456,88.4382
Angola,2010,Both sexes,21.1773,1.7606,4.8162,4.0032,1.6381,65.3754
Angola,2010,Male,23.9715,11.481,11.1794,3.5789,0.6822,75.0608
Angola,2010,Female,23.2121,5.4462,9.8436,2.4212,2.313,99.4319
Angola,2005,Both sexes,18.1643,1.0019,9.0876,1.1966,4.7085,91.4219
Angola,2005,Male,23.6719,8.1558,5.7087,1.1242,0.5529,91.9007
Angola,2005,Female,9.5044,1.6559,4.6564,3.2167,3.1455,56.6544
Angola,2000,Both sexes,11.3317,4.8664,9.8081,4.0481,2.7563,80.0357
Angola,2000,Male,8.7689,10.8977,7.2674,3.1495,4.4302,87.8242
Angola,2000,Female,13.5306,1.8777,5.0321,4.3631,0.878,44.2386
Argentina,2020,Both sexes,8.8868,0.8554,4.0831,0.3568,0.7134,26.0449
Argentina,2020,Male,7.7135,0.1034,1.2017,0.9235,0.7121,25.2778
Argentina,2020,Female,13.2874,0.3221,2.6309,0.703,0.7022,37.2924
Argentina,2015,Both sexes,8.5675,0.7668,3.3428,1.0604,0.9481,30.2649
Argentina,2015,Male,7.8093,0.3846,1.7398,0.423,0.8408,25.7468
Argentina,2015,Female,10.427,0.1917,5.9233,1.922,0.1378,26.6826
Argentina,2010,Both sexes,6.4092,0.4242,2.0455,0.6795,0.524,19.4784
Argentina,2010,Male,13.022,0.3434,1.6518,1.8679,0.4582,24.7435
Argentina,2010,Female,5.7455,0.8584,2.0177,1.024,0.3791,19.5837
Argentina,2005,Both sexes,14.8689,0.382,4.8453,1.9754,0.5062,38.3554
Argentina,2005,Male,12.7224,0.81,3.1275,1.2419,0.4458,37.7173
Argentina,2005,Female,6.9872,0.9027,3.8271,1.8824,0.4891,19.3252
Argentina,2000,Both sexes,5.0552,0.4904,1.105,0.3091,0.9813,17.6299
Argentina,2000,Male,13.1546,0.9189,1.1722,1.572,0.1798,22.7312
Argentina,2000,Female,12.0686,0.4396,3.2291,1.8352,0.93,36.6241
Armenia,2020,Both sexes,12.2901,0.9677,5.0833,0.5375,0.5322,34.8172
Armenia,2020,Male,12.7127,0.1804,5.4262,0.4634,0.6614,36.8425
Armenia,2020,Female,5.7404,0.7183,1.4335,1.0218,0.8472,28.5364
Armenia,2015,Both sexes,8.5847,0.5444,3.6918,1.8873,0.4244,22.4294
Armenia,2015,Male,6.1587,0.4489,5.5661,1.2221,0.4874,25.9336
Armenia,2015,Female,13.631,0.6694,2.9399,1.1967,0.4686,32.0996
Armenia,2010,Both sexes,11.233,0.7335,5.1478,0.5399,0.4373,30.8353
Armenia,2010,Male,8.309,0.1039,1.6685,0.3013,0.933,27.122
Armenia,2010,Female,5.6356,0.2503,5.677,1.6772,0.846,31.424
Armenia,2005,Both sexes,8.1098,0.7417,4.7571,0.4489,0.1981,22.7846
Armenia,2005,Male,8.2518,0.6997,5.7067,1.3775,0.1973,22.8161
Armenia,2005,Female,12.2961,0.9694,4.3831,1.8548,0.4851,34.1967
Armenia,2000,Both sexes,11.3756,0.7849,2.817,0.6547,0.1888,24.4758
Armenia,2000,Male,13.8721,0.9557,5.6909,1.431,0.6572,40.0111
Armenia,2000,Female,9.7221,0.7323,2.3778,0.4338,0.2293,25.4782
Australia,2020,Both sexes,2.7176,0.0517,1.3304,0.3217,0.114,8.2995
Australia,2020,Male,6.2795,0.0248,2.252,0.1238,0.0213,11.1206
Australia,2020,Female,6.5647,0.1195,2.4133,0.3812,0.077,10.9696
Australia,2015,Both sexes,5.3677,0.1002,2.8235,0.1856,0.1419,10.8144
Australia,2015,Male,6.6258,0.0167,1.012,0.2585,0.1071,9.6729
Australia,2015,Female,4.9628,0.0604,2.495,0.3197,0.1961,9.9653
Australia,2010,Both sexes,5.1364,0.144,2.3464,0.1271,0.1773,11.1089
Australia,2010,Male,4.5652,0.0801,0.6595,0.3837,0.0846,8.1927
Australia,2010,Female,2.1525,0.0706,1.4681,0.1862,0.0282,7.8842
Australia,2005,Both sexes,2.6473,0.0741,1.2069,0.3481,0.1722,8.0412
Australia,2005,Male,2.1886,0.0392,1.2612,0.1212,0.184,7.8744
Australia,2005,Female,5.8185,0.0616,2.9574,0.3597,0.1677,13.5262
Australia,2000,Both sexes,3.8861,0.0618,2.1069,0.1077,0.043,9.3118
Australia,2000,Male,5.0514,0.0173,2.2942,0.2414,0.1996,9.8291
Australia,2000,Female,7.4454,0.1175,2.9415,0.1612,0.0665,15.7136
Austria,2020,Both sexes,3.4958,0.0683,1.443,0.3868,0.1504,6.9708
Austria,2020,Male,4.4623,0.1251,2.5046,0.1679,0.1834,10.1031
Austria,2020,Female,6.5333,0.129,1.5863,0.4468,0.0624,10.3763
Austria,2015,Both sexes,3.3728,0.0397,2.6738,0.4513,0.1835,9.7494
Austria,2015,Male,2.4619,0.102,0.9516,0.1384,0.0757,7.9571
Austria,2015,Female,3.7385,0.0761,2.8692,0.3262,0.1958,10.1049
Austria,2010,Both sexes,2.9673,0.1332,1.0469,0.0895,0.0706,7.0441
Austria,2010,Male,7.5782,0.0402,1.3156,0.2262,0.1916,11.6786
Austria,2010,Female,6.8487,0.1049,2.3905,0.371,0.0296,11.0517
Austria,2005,Both sexes,5.8004,0.0951,1.4844,0.3467,0.1477,11.7712
Austria,2005,Male,7.2288,0.0513,2.0205,0.3311,0.1158,13.7529
Austria,2005,Female,6.822,0.0291,1.6114,0.1771,0.106,12.2058
Austria,2000,Both sexes,3.1194,0.1012,2.3559,0.2201,0.0602,10.4655
Austria,2000,Male,7.3554,0.1134,1.0708,0.0963,0.147,10.3154
Austria,2000,Female,5.2361,0.0542,0.6461,0.3736,0.0543,8.1669
Azerbaijan,2020,Both sexes,13.0744,0.6803,2.4996,1.1566,0.5976,35.732
Azerbaijan,2020,Male,13.9609,0.4556,3.3715,1.5049,0.3279,34.5376
Azerbaijan,2020,Female,8.18,0.7419,1.8401,0.7232,0.9601,25.1918
Azerbaijan,2015,Both sexes,6.1005,0.2793,2.774,0.8515,0.1258,26.7198
Azerbaijan,2015,Male,7.2794,0.9012,2.9999,0.8682,0.2798,28.9748
Azerbaijan,2015,Female,9.2711,0.3587,1.287,0.3438,0.3181,24.9017
Azerbaijan,2010,Both sexes,13.1801,0.431,3.9165,0.8798,0.4727,34.2231
Azerbaijan,2010,Male,13.6073,0.1523,5.4217,1.6656,0.3095,29.8935
Azerbaijan,2010,Female,5.0695,0.2004,1.7587,1.8254,0.5422,24.9467
Azerbaijan,2005,Both sexes,10.1075,0.5643,3.989,1.181,0.8852,27.7189
Azerbaijan,2005,Male,9.1741,0.3408,4.3237,1.0744,0.7409,29.9225
Azerbaijan,2005,Female,7.2211,0.8519,3.0967,0.3524,0.622,26.1559
Azerbaijan,2000,Both sexes,6.1987,0.1132,4.5055,1.7946,0.1801,26.9533
Azerbaijan,2000,Male,8.3762,0.4412,3.0537,0.3221,0.7246,28.4642
Azerbaijan,2000,Female,14.4291,0.4036,3.5232,1.9061,0.2498,26.6651
Bahamas,2020,Both sexes,8.232,0.1174,1.0368,1.1317,0.8077,19.5035
Bahamas,2020,Male,10.1879,0.2119,4.4586,0.8813,0.3251,25.5416
Bahamas,2020,Female,12.0302,0.4723,4.3067,1.8712,0.4753,38.6468
Bahamas,2015,Both sexes,8.6363,0.5436,1.192,0.3415,0.4154,25.993
Bahamas,2015,Male,14.7178,0.4639,2.8413,1.2884,0.8729,27.7955
Bahamas,2015,Female,14.6245,0.5778,5.8952,1.2332,0.2139,37.771
Bahamas,2010,Both sexes,7.5178,0.6356,3.1037,0.6728,0.6091,30.1549
Bahamas,2010,Male,9.9725,0.1089,3.5097,1.0291,0.2279,33.349
Bahamas,2010,Female,8.0088,0.5177,5.5497,1.4088,0.7343,24.3388
Bahamas,2005,Both sexes,7.8484,0.9671,4.5863,1.5361,0.9146,35.0658
Bahamas,2005,Male,5.3689,0.5671,3.9104,0.3012,0.4911,19.1151
Bahamas,2005,Female,11.0956,0.7098,4.989,1.8927,0.5393,26.533
Bahamas,2000,Both sexes,10.0268,0.3807,5.3218,0.5797,0.9347,31.7052
Bahamas,2000,Male,5.5148,0.7966,3.2844,0.6971,0.5689,16.4103
Bahamas,2000,Female,7.7865,0.7956,3.3755,0.7479,0.5388,30.1826
Bahrain,2020,Both sexes,7.4496,0.083,1.4651,0.067,0.1241,10.76
Bahrain,2020,Male,3.4374,0.1466,2.9168,0.1054,0.1441,8.0963
Bahrain,2020,Female,2.8694,0.0276,2.2429,0.4939,0.0392,9.9489
Bahrain,2015,Both sexes,4.9367,0.0124,0.7081,0.1918,0.1678,10.8699
Bahrain,2015,Male,7.9139,0.1178,2.6574,0.1019,0.0984,14.9335
Bahrain,2015,Female,3.4523,0.123,1.7014,0.0981,0.033,9.6856
Bahrain,2010,Both sexes,6.0328,0.0268,0.6719,0.3738,0.1615,12.0143
Bahrain,2010,Male,6.5697,0.0472,1.8743,0.4346,0.0879,11.6691
Bahrain,2010,Female,3.4258,0.0125,1.5429,0.1656,0.0381,7.4605
Bahrain,2005,Both sexes,6.3693,0.0511,2.6944,0.0594,0.1341,13.1374
