location,period,sex,total_prob,prob_cancer,prob_card,prob_resp,prob_diab
Afghanistan,2000,Both sexes,34.4,14.2839,13.928,4.9026,1.2855
Afghanistan,2000,Female,32.1,12.8952,14.2995,4.2521,0.6532
Afghanistan,2000,Male,36.6,15.4455,14.8633,5.2003,1.0909
Afghanistan,2005,Both sexes,34.1,14.5168,14.6501,4.5288,0.4043
Afghanistan,2005,Female,31.6,14.1392,14.1657,2.844,0.4511
Afghanistan,2005,Male,36.5,15.7088,14.9112,5.42,0.46
Afghanistan,2010,Both sexes,31.7,13.3646,13.1416,4.1009,1.0929
Afghanistan,2010,Female,29.4,12.4304,12.9142,3.5266,0.5288
Afghanistan,2010,Male,34.1,13.8778,14.1381,5.2433,0.8408
Afghanistan,2015,Both sexes,29.8,12.975,11.9507,3.4202,1.4541
Afghanistan,2015,Female,27.8,11.3749,11.5429,4.0206,0.8616
Afghanistan,2015,Male,31.9,14.0877,13.0987,4.1626,0.551
Afghanistan,2020,Both sexes,29.8,12.4781,13.3366,2.8148,1.1705
Afghanistan,2020,Female,27.7,11.1604,12.2797,3.3169,0.943
Afghanistan,2020,Male,31.8,13.6719,12.9681,4.6436,0.5164
Afghanistan,2025,Both sexes,30.4348,12.7396,13.6211,2.8833,1.1908
Afghanistan,2025,Female,28.2908,11.4489,12.5243,3.3641,0.9535
Afghanistan,2025,Male,32.478,14.0008,13.2201,4.7259,0.5312
Albania,2000,Both sexes,19.4,8.3646,8.081,2.7111,0.2433
Albania,2000,Female,14.9,6.435,6.621,1.4136,0.4304
Albania,2000,Male,23.1,9.5992,9.6156,2.9801,0.9051
Albania,2005,Both sexes,18.8,7.5252,8.2865,2.2687,0.7196
Albania,2005,Female,15.0,6.2688,6.0869,1.9764,0.6679
Albania,2005,Male,22.1,9.6456,9.6923,2.4757,0.2864
Albania,2010,Both sexes,18.6,7.7718,7.7013,2.5372,0.5897
Albania,2010,Female,14.6,6.5604,6.4037,1.3738,0.2621
Albania,2010,Male,22.3,9.0771,9.8144,3.1189,0.2896
Albania,2015,Both sexes,17.4,7.4802,7.762,1.9222,0.2356
Albania,2015,Female,13.7,5.7462,5.6659,1.6967,0.5912
Albania,2015,Male,20.9,8.5648,8.4073,3.447,0.4809
Albania,2020,Both sexes,17.0,7.3631,7.065,2.0483,0.5236
Albania,2020,Female,13.1,5.7477,5.8554,1.179,0.3179
Albania,2020,Male,20.7,8.8458,8.4713,2.373,1.0099
Albania,2025,Both sexes,17.3991,7.5294,7.2391,2.0947,0.5359
Albania,2025,Female,13.4033,5.8868,5.9922,1.1981,0.3262
Albania,2025,Male,21.0133,8.9613,8.5709,2.4431,1.038
Algeria,2000,Both sexes,21.1,9.303,9.3481,2.2321,0.2168
Algeria,2000,Female,19.1,7.7545,7.9624,2.4717,0.9114
Algeria,2000,Male,23.1,9.8299,9.7221,3.1117,0.4363
Algeria,2005,Both sexes,17.6,7.2042,7.8255,2.0147,0.5556
Algeria,2005,Female,16.2,6.5691,6.6646,2.5275,0.4388
Algeria,2005,Male,18.9,8.323,8.4068,1.7408,0.4294
Algeria,2010,Both sexes,15.4,6.3362,6.2193,2.5121,0.3324
Algeria,2010,Female,14.4,6.2161,6.3875,1.296,0.5004
Algeria,2010,Male,16.4,6.6922,7.3224,1.6913,0.6941
Algeria,2015,Both sexes,14.4,5.8377,5.7826,2.2691,0.5106
Algeria,2015,Female,13.3,5.4858,5.5929,1.6864,0.5349
Algeria,2015,Male,15.4,6.4021,6.5516,1.7333,0.713
Algeria,2020,Both sexes,14.2,5.7649,6.1864,1.6746,0.5741
Algeria,2020,Female,13.2,5.625,5.5622,1.8674,0.1454
Algeria,2020,Male,15.2,6.5066,6.6659,1.5753,0.4522
